 distance P2O231NTf2_custom_CLPOL distance P2O231NTf2_LINEAR_custom_CLPOL distance P2O231TCB_custom_CLPOL distance P2O231TCB_LINEAR_custom_CLPOL distance P5551NTf2_custom_CLPOL distance P5551TCB_custom_CLPOL
 0.00800000038 9.0620626e-05 0.00949999969 0.000148820705 0.00949999969 0.00031111727 0.00999999978 0.000287290313 0.00800000038 0.000106830688 0.00850000046 0.000253893639
 0.0240000002 0.000619403669 0.0284999982 0.00101860159 0.0284999982 0.0021207924 0.0299999993 0.00203144131 0.0240000002 0.000730335189 0.0255000014 0.00181992899
 0.0399999991 0.00166368927 0.0474999957 0.00263795443 0.0474999957 0.00560069643 0.049999997 0.00536750536 0.0399999991 0.00193330331 0.0425000042 0.00489565497
 0.0560000017 0.00313500501 0.0665000007 0.00496801408 0.0665000007 0.010576034 0.0700000003 0.0101199048 0.0560000017 0.00368751376 0.0595000014 0.00915735774
 0.0720000044 0.00491118897 0.0855000019 0.00764864217 0.0855000019 0.0166474096 0.0899999961 0.0160273239 0.0720000044 0.00576348603 0.076500006 0.0145375589
 0.0879999995 0.00697319862 0.104499996 0.0106523987 0.104499996 0.0235523395 0.109999999 0.0227341186 0.0879999995 0.00811756961 0.0935000032 0.0205634311
 0.104000002 0.00904009026 0.123500004 0.0134323388 0.123500004 0.0307823475 0.129999995 0.0298256576 0.104000002 0.0105059287 0.1105 0.0269603785
 0.120000005 0.0111346189 0.142499998 0.0161628667 0.142499998 0.0380057171 0.149999991 0.0369793996 0.120000005 0.0129557103 0.127500013 0.0335115194
 0.136000007 0.0131831532 0.161499992 0.0185600128 0.161499992 0.0446529463 0.169999987 0.0438127518 0.136000007 0.0151434932 0.144500017 0.039644219
 0.15200001 0.0149586527 0.180500001 0.0203994717 0.180500001 0.0505201295 0.189999983 0.04965543 0.15200001 0.0171166379 0.161500022 0.045093365
 0.168000013 0.0164210834 0.199499995 0.0216314401 0.199499995 0.0553845353 0.209999993 0.0545651428 0.168000013 0.0187374558 0.178500012 0.0498698838
 0.184 0.0175227877 0.218499988 0.0223598219 0.218499988 0.0588191301 0.229999989 0.0581567623 0.184 0.0200192295 0.195500016 0.053382989
 0.200000003 0.0184077062 0.237499997 0.0226380322 0.237499997 0.0609320141 0.249999985 0.0606142543 0.200000003 0.0208719224 0.212500021 0.0560681112
 0.216000006 0.0189227201 0.256500006 0.0223615821 0.256500006 0.0617522821 0.270000011 0.0615086481 0.216000006 0.021243291 0.229500011 0.0573889427
 0.232000008 0.0190700758 0.2755 0.0216618106 0.2755 0.0611549541 0.289999992 0.0610372797 0.232000008 0.0212882105 0.24650003 0.0575157963
 0.248000011 0.0189595334 0.294499993 0.0206784625 0.294499993 0.0591856129 0.310000002 0.0593876578 0.248000011 0.0209817793 0.263500005 0.0565918162
 0.264000028 0.0184325092 0.313499987 0.0193145648 0.313499987 0.056204319 0.330000013 0.0567204095 0.264000028 0.020442158 0.280499995 0.0547218882
 0.280000031 0.0178127158 0.332499981 0.0179205909 0.332499981 0.0525786206 0.349999994 0.0529289953 0.280000031 0.0195375159 0.297500014 0.0520616695
 0.296000034 0.0169548448 0.351500005 0.0163343418 0.351500005 0.048141636 0.370000005 0.0487247109 0.296000034 0.0184885431 0.314500004 0.0485969968
 0.312000036 0.0160066504 0.370499998 0.0148638096 0.370499998 0.0434429459 0.389999986 0.0438307188 0.312000036 0.0173352808 0.331500024 0.0449308716
 0.328000039 0.0149508417 0.389499992 0.0133396666 0.389499992 0.0384532548 0.409999996 0.0390314497 0.328000039 0.016050186 0.348500013 0.0408166237
 0.344000041 0.0137647651 0.408499986 0.0118569285 0.408499986 0.0335513502 0.430000007 0.0341331586 0.344000041 0.0148379412 0.365500003 0.0366821624
 0.360000044 0.0125607215 0.42749998 0.0105383424 0.42749998 0.0288146734 0.449999988 0.0294337831 0.360000044 0.0135185728 0.382500023 0.0323644057
 0.376000017 0.0113513079 0.446499974 0.00932551082 0.446499974 0.0242504478 0.469999999 0.0248835236 0.376000017 0.0122236172 0.399500012 0.0283440985
 0.39200002 0.0103496956 0.465499997 0.0082628699 0.465499997 0.0203054305 0.49000001 0.0207956415 0.39200002 0.0110169379 0.416500002 0.0243929289
 0.408000022 0.00928587932 0.484499991 0.00729914755 0.484499991 0.0166722145 0.50999999 0.0171334203 0.408000022 0.00989922043 0.433500022 0.0208128337
 0.424000025 0.00838006474 0.503499985 0.00656666514 0.503499985 0.0134672951 0.529999971 0.0138502838 0.424000025 0.00886235666 0.450500011 0.0175766665
 0.440000027 0.00744778477 0.522499979 0.00588271441 0.522499979 0.0107309092 0.550000012 0.0111049144 0.440000027 0.00798915792 0.467500001 0.0146925319
 0.45600003 0.0067209648 0.541499972 0.00536291627 0.541499972 0.00846979115 0.569999993 0.00876723789 0.45600003 0.00710189668 0.484500021 0.0120468624
 0.472000033 0.00603701361 0.560499966 0.00489086937 0.560499966 0.00649567135 0.589999974 0.00680102734 0.472000033 0.00633416139 0.50150007 0.00980752055
