time P2O231NTf2_custom_CLPOL P2O231NTf2_LINEAR_custom_CLPOL P2O231TCB_custom_CLPOL P2O231TCB_LINEAR_custom_CLPOL P5551NTf2_custom_CLPOL P5551TCB_custom_CLPOL P2O231TCB_customADCH_CLPOL P2O231TCB_customADCH_CLPOL_CCAAscaled P5551TCB_customADCH_CLPOL P5551TCB_customADCH_CLPOL_CCAAscaled
3000000.0 18.132 2.9842 3.08359 0.662165 5.98041 2.01107 16.7077 171.5 5.89683 87.9593
3001000.0 18.1375 2.98497 3.08433 0.66229 5.98188 2.01168 16.7127 171.558 5.89842 87.9881
3002000.0 18.1432 2.9857 3.08506 0.662463 5.98324 2.01223 16.7177 171.617 5.9 88.0168
3003000.0 18.1488 2.98645 3.08574 0.662479 5.98472 2.01257 16.7227 171.676 5.90166 88.0455
3004000.0 18.1544 2.98737 3.08651 0.662547 5.98627 2.01278 16.7275 171.735 5.90338 88.0741
3005000.0 18.1598 2.98819 3.08716 0.66266 5.98787 2.01321 16.7327 171.794 5.90497 88.1028
3006000.0 18.1652 2.98902 3.08801 0.662589 5.98956 2.01367 16.7379 171.853 5.90672 88.131
3007000.0 18.1705 2.98978 3.08892 0.662724 5.99119 2.01409 16.7431 171.912 5.90829 88.1594
3008000.0 18.1761 2.99052 3.08983 0.663016 5.9926 2.01462 16.7481 171.972 5.90977 88.1877
3009000.0 18.1817 2.99124 3.09068 0.663034 5.99395 2.0151 16.7531 172.031 5.91128 88.2163
3010000.0 18.1875 2.99206 3.0915 0.6632 5.99532 2.01552 16.7582 172.09 5.91309 88.245
3011000.0 18.1933 2.99281 3.0922 0.663211 5.99678 2.01587 16.7631 172.149 5.91476 88.2739
3012000.0 18.199 2.99364 3.09276 0.663327 5.99834 2.01625 16.768 172.208 5.91647 88.3028
3013000.0 18.2047 2.99448 3.09361 0.663435 5.99993 2.01664 16.7731 172.267 5.91793 88.3319
3014000.0 18.2102 2.99527 3.09426 0.663569 6.00147 2.0171 16.7782 172.325 5.91956 88.3612
3015000.0 18.2157 2.99597 3.09518 0.663649 6.00302 2.01755 16.7834 172.384 5.92114 88.3905
3016000.0 18.2213 2.9966 3.0959 0.6638 6.0047 2.01806 16.7885 172.443 5.9226 88.4195
3017000.0 18.2269 2.99728 3.09669 0.663955 6.00624 2.01849 16.7935 172.501 5.92412 88.4485
3018000.0 18.2327 2.998 3.0977 0.664114 6.00774 2.01887 16.7983 172.56 5.92575 88.4773
3019000.0 18.2384 2.99888 3.09854 0.664076 6.00918 2.01936 16.8033 172.618 5.92742 88.5059
3020000.0 18.2439 2.99979 3.09914 0.664085 6.01058 2.01982 16.8082 172.677 5.92921 88.5348
3021000.0 18.2494 3.00053 3.09978 0.664373 6.01199 2.02024 16.8132 172.735 5.93081 88.5636
3022000.0 18.2548 3.00131 3.10053 0.664557 6.0136 2.02062 16.8184 172.794 5.93231 88.5927
3023000.0 18.2605 3.00191 3.1013 0.664655 6.01523 2.02115 16.8235 172.852 5.93408 88.6216
3024000.0 18.2661 3.00276 3.10231 0.664738 6.0168 2.02165 16.8289 172.911 5.93566 88.6506
3025000.0 18.2716 3.00364 3.10319 0.664772 6.0182 2.02218 16.834 172.969 5.93717 88.6796
3026000.0 18.277 3.0044 3.10405 0.664866 6.01964 2.02263 16.8392 173.028 5.93873 88.7087
3027000.0 18.2825 3.00538 3.10459 0.665096 6.0211 2.02298 16.8442 173.086 5.94039 88.7379
3028000.0 18.2882 3.00613 3.10523 0.66516 6.02263 2.02338 16.8491 173.144 5.94202 88.7669
3029000.0 18.2937 3.00668 3.10594 0.665258 6.02418 2.02371 16.854 173.202 5.94363 88.7959
3030000.0 18.2992 3.0074 3.10684 0.665353 6.0258 2.02417 16.8591 173.26 5.9451 88.8251
3031000.0 18.3047 3.00817 3.10784 0.665472 6.02724 2.02462 16.8643 173.318 5.94693 88.854
3032000.0 18.3103 3.00893 3.10867 0.665557 6.02858 2.02517 16.8696 173.376 5.94882 88.8826
3033000.0 18.316 3.00969 3.10963 0.665693 6.02985 2.02553 16.8746 173.434 5.95058 88.9113
3034000.0 18.3218 3.01045 3.11024 0.665737 6.03119 2.02586 16.8795 173.492 5.95232 88.9401
3035000.0 18.3274 3.01124 3.11079 0.665976 6.03273 2.02623 16.8846 173.55 5.95385 88.9687
3036000.0 18.3329 3.01204 3.11162 0.665955 6.03418 2.02665 16.8895 173.608 5.95555 88.9971
3037000.0 18.3384 3.01273 3.11241 0.666152 6.03574 2.02707 16.8945 173.666 5.95716 89.0259
3038000.0 18.3438 3.01336 3.11351 0.666268 6.0373 2.02743 16.8995 173.724 5.95879 89.0549
3039000.0 18.3495 3.01396 3.11428 0.666262 6.03881 2.02814 16.9046 173.783 5.96044 89.0839
3040000.0 18.3551 3.01467 3.11496 0.666425 6.04027 2.02856 16.9096 173.841 5.96216 89.1132
3041000.0 18.3607 3.01553 3.11565 0.666668 6.04183 2.02903 16.9145 173.899 5.96391 89.1426
3042000.0 18.3664 3.01635 3.11632 0.666611 6.04339 2.02927 16.9196 173.958 5.96557 89.1718
3043000.0 18.3721 3.01725 3.11716 0.666704 6.0447 2.02967 16.9246 174.016 5.96734 89.2011
3044000.0 18.3776 3.01793 3.11814 0.666706 6.04609 2.03025 16.9297 174.074 5.96899 89.2302
3045000.0 18.3831 3.0185 3.11908 0.667015 6.04764 2.03076 16.9345 174.132 5.97061 89.2592
3046000.0 18.3885 3.01922 3.11988 0.667099 6.0493 2.03128 16.9392 174.191 5.97221 89.2882
3047000.0 18.3938 3.01995 3.12061 0.667261 6.0509 2.03181 16.9442 174.249 5.97382 89.3176
3048000.0 18.3992 3.02081 3.12121 0.667276 6.05238 2.03217 16.9492 174.307 5.97554 89.3464
3049000.0 18.4047 3.02153 3.12204 0.667266 6.05366 2.03258 16.9543 174.365 5.97722 89.3753
3050000.0 18.4104 3.02197 3.12273 0.667287 6.05498 2.03288 16.9594 174.423 5.97881 89.4041
3051000.0 18.4161 3.0225 3.1235 0.667556 6.05631 2.03321 16.9644 174.481 5.98041 89.4329
3052000.0 18.4217 3.02327 3.12429 0.667743 6.05775 2.03374 16.9696 174.539 5.98221 89.4616
3053000.0 18.4272 3.02398 3.12512 0.66795 6.05923 2.03416 16.9744 174.597 5.98396 89.4902
3054000.0 18.4326 3.02482 3.12592 0.667924 6.0608 2.03469 16.9796 174.655 5.98565 89.5192
3055000.0 18.438 3.02558 3.12668 0.668098 6.06234 2.03529 16.9846 174.714 5.98731 89.5482
3056000.0 18.4434 3.02633 3.12735 0.668192 6.06399 2.03585 16.9897 174.772 5.98872 89.5771
3057000.0 18.449 3.02717 3.12828 0.668257 6.06572 2.03626 16.9948 174.83 5.99002 89.6063
3058000.0 18.4546 3.02787 3.12903 0.668425 6.06742 2.03646 16.9997 174.887 5.99181 89.6353
3059000.0 18.4602 3.02852 3.12999 0.66859 6.06896 2.03676 17.0046 174.945 5.99348 89.6646
3060000.0 18.4655 3.0292 3.13066 0.668581 6.07031 2.03731 17.0095 175.003 5.99538 89.6938
3061000.0 18.4709 3.02989 3.13155 0.668599 6.07173 2.03787 17.0146 175.062 5.99708 89.723
3062000.0 18.4765 3.0306 3.13226 0.668685 6.07326 2.03847 17.0196 175.12 5.99871 89.752
3063000.0 18.4822 3.03138 3.13323 0.66888 6.07453 2.03893 17.0245 175.178 6.00035 89.7813
3064000.0 18.4877 3.03216 3.13415 0.669071 6.07601 2.03924 17.0294 175.237 6.00203 89.8105
3065000.0 18.4931 3.03277 3.13497 0.669253 6.0776 2.03972 17.0347 175.295 6.00376 89.8397
3066000.0 18.4985 3.03344 3.1357 0.669289 6.07893 2.04024 17.0397 175.353 6.00559 89.869
3067000.0 18.5042 3.03414 3.13644 0.669338 6.08056 2.04054 17.0451 175.411 6.00745 89.8983
3068000.0 18.5098 3.03497 3.13739 0.669467 6.08198 2.04094 17.0502 175.469 6.00904 89.9277
3069000.0 18.5153 3.03569 3.13836 0.669641 6.08369 2.04131 17.0553 175.527 6.01032 89.9571
3070000.0 18.5209 3.03641 3.13929 0.669778 6.0853 2.04192 17.0604 175.585 6.0117 89.9866
3071000.0 18.5266 3.03718 3.13994 0.669895 6.08686 2.04241 17.0653 175.643 6.01331 90.016
3072000.0 18.5322 3.038 3.14071 0.670031 6.08821 2.04273 17.0701 175.701 6.01516 90.0455
3073000.0 18.5376 3.03866 3.14141 0.670104 6.08942 2.04326 17.0749 175.759 6.01722 90.0748
3074000.0 18.5429 3.03925 3.14237 0.670263 6.09063 2.04366 17.08 175.817 6.01908 90.1041
3075000.0 18.5485 3.03993 3.14333 0.670442 6.09199 2.04408 17.0852 175.875 6.0208 90.1333
3076000.0 18.5539 3.04059 3.14415 0.670379 6.09342 2.04437 17.0903 175.933 6.02251 90.1627
3077000.0 18.5593 3.04148 3.14497 0.670511 6.09512 2.04494 17.0955 175.991 6.02424 90.1918
