angle(B-C-N)/degrees Energy/Hartree
162.0 -0.39578518946771E+03
163.8 -0.39578585461520E+03
165.6 -0.39578644981741E+03
167.4 -0.39578697507239E+03
169.2 -0.39578743036110E+03
171.0 -0.39578781564105E+03
172.8 -0.39578813084739E+03
174.6 -0.39578837588911E+03
176.4 -0.39578855065046E+03
178.2 -0.39578865499316E+03
180.0 -0.39578868876747E+03
181.8 -0.39578865178217E+03
183.6 -0.39578854387457E+03
185.4 -0.39578836485325E+03
187.2 -0.39578811454056E+03
189.0 -0.39578779276747E+03
190.8 -0.39578739938343E+03
192.6 -0.39578693426110E+03
194.4 -0.39578639730725E+03
196.2 -0.39578578846169E+03
198.0 -0.39578510770274E+03
