d(B-C)/Angström Energy/Hartree
1.4491004437 -0.39578049373746E+03
1.4650246244 -0.39578260185144E+03
1.4809488051 -0.39578435385016E+03
1.4968729858 -0.39578577656792E+03
1.5127971665 -0.39578689504104E+03
1.5287213472 -0.39578773263700E+03
1.5446455279 -0.39578831114131E+03
1.5605697086 -0.39578865086698E+03
1.5764938893 -0.39578877075844E+03
1.59241807 -0.39578868844034E+03
1.6083422507 -0.39578842032549E+03
1.6242664314 -0.39578798176376E+03
1.6401906121 -0.39578738699182E+03
1.6561147928 -0.39578664927752E+03
1.6720389735 -0.39578578097778E+03
1.6879631542 -0.39578479359577E+03
1.7038873349 -0.39578369783817E+03
1.7198115156 -0.39578250367284E+03
1.7357356963 -0.39578122037631E+03
1.751659877 -0.39577985658027E+03
