angle(C-B-C)/degrees Energy/Hartree
98.524098567 -0.39578508010203E+03 
99.6188107733 -0.39578578579712E+03
100.71352298 -0.39578641048477E+03 
101.808235186 -0.39578695598202E+03
102.902947392 -0.39578742394422E+03
103.997659599 -0.39578781597937E+03
106.187084011 -0.39578837831974E+03
107.281796217 -0.39578855145802E+03
108.376508424 -0.39578865438749E+03
109.47122063 -0.39578868840837E+03 
110.565932836 -0.39578865483391E+03
111.660645043 -0.39578855483576E+03
112.755357249 -0.39578838961650E+03
113.850069455 -0.39578816034990E+03
114.944781662 -0.39578786816136E+03
116.039493868 -0.39578751419606E+03
117.134206074 -0.39578709952750E+03
118.22891828 -0.39578662516563E+03 
119.323630487 -0.39578609205543E+03
120.418342693 -0.39578550108728E+03
