d(C-N)/Angström Energy/Hartree
1.0974300725 -0.39577728495036E+03
1.108981968 -0.39578099416873E+03
1.1205338635 -0.39578393493443E+03
1.132085759 -0.39578616310849E+03
1.1436376545 -0.39578773117675E+03
1.15518955 -0.39578868848048E+03
1.1667414455 -0.39578908135085E+03
1.178293341 -0.39578895340270E+03
1.1898452365 -0.39578834558959E+03
1.201397132 -0.39578729641617E+03
1.2129490275 -0.39578584207265E+03
1.224500923 -0.39578401657676E+03
1.2360528185 -0.39578185187477E+03
1.247604714 -0.39577937799296E+03
1.2591566095 -0.39577662312535E+03
